Agency,DistrictType,StaffingClassification,CareerFirefighters,VolunteerFirefighters,TotalFirefighters,DistrictSize(sq_mi),DistrictPopulation,DistrictPopulationDensity,BuildingCount,BuildingDensity,County,DeputyStateFireMarshalDistrict,FireRiskReductionDistrict,X,Y,FireServiceCasualties
Klamath Co. Fire Dist. 5,Rural,Combo,1,12,13,56.2,"1,179",21,"1,207",21,Klamath,15,F,-121.430824,42.315015,0
Boardman Fire & Rescue Dist.,Rural,Combo,21,10,31,313.8,"5,669",18,"2,433",8,Morrow,19,D,-119.858295,45.733297,0
Bonanza RFPD,Rural,Combo,3,28,31,142.5,"1,186",8,"1,718",12,Klamath,15,F,-121.388026,42.191399,0
Brookings Fire & Rescue,Rural,Combo,2,23,25,27.7,"8,140",300,"4,915",177,Curry,12,C,-124.286477,42.061626,0
Brownsville RFPD,Rural,Combo,1,23,24,70.1,"3,297",48,"3,530",50,Linn,6,B,-122.984463,44.402647,0
Burns FD,Null,Combo,2,12,14,4.3,"2,855",670,"2,229",523,Harney,21,G,-119.062629,43.591623,1
Butte Falls VFD,Null,Volunteer,0,18,18,0.4,444,"1,146",388,995,Jackson,14,F,-122.569338,42.542012,0
Canby Fire Dist.,Rural,Combo,25,28,53,49.5,"24,281",496,"11,559",233,Clackamas,3,A,-122.672488,45.236777,0
Cannon Beach RFPD,Rural,Combo,10,19,29,4.9,"1,966",409,"2,712",554,Clatsop,1,A,-123.968531,45.780639,0
Canyon City FD,Municipal,Volunteer,0,10,10,1.4,653,470,447,321,Grant,21,G,-118.949507,44.393119,0
Canyonville South Umpqua FD,Rural,Volunteer,0,26,26,10.6,"2,369",223,"1,813",171,Douglas,11,C,-123.281843,42.930247,0
New Carlton Fire Dist.,Rural,Combo,1,23,24,36.4,"3,519",97,"2,289",63,Yamhill,5,B,-123.141649,45.290257,0
Charleston RFPD,Null,Combo,8,19,27,5.2,"3,431",653,"2,709",517,Coos,9,C,-124.32352,43.335178,0
Chemult RFPD,Null,Combo,1,17,18,43.7,310,7,854,20,Klamath,15,F,-121.855799,43.378133,0
Chiloquin Fire & Rescue,Rural,Combo,8,24,32,105.6,"2,969",28,"3,187",30,Klamath,15,F,-121.733688,42.588294,0
Christmas Valley RFPD,Rural,Volunteer,0,6,6,11.3,560,50,839,74,Lake,15,F,-120.706583,43.236913,0
Clackamas Co. Fire Dist. 1,Rural,Combo,309,29,338,225.7,"216,644",967,"103,924",461,Clackamas,3,A,-122.482053,45.349738,12
Clatskanie RFPD,Rural,Combo,18,10,28,136.7,"6,309",46,"6,206",45,Columbia,1,A,-123.174856,46.092342,0
Cloverdale RFPD,Rural,Combo,4,20,24,40.3,"2,400",61,"2,787",69,Deschutes,16,E,-121.453753,44.268043,0
Coburg RFPD,Rural,Volunteer,0,5,5,36.6,"2,883",78,"2,222",61,Lane,8,C,-123.064985,44.157668,0
Colton RFPD,Rural,Combo,2,16,18,37,"3,221",88,"2,891",78,Clackamas,3,A,-122.412668,45.16435,0
South Gilliam Co. RFPD,Rural,Volunteer,0,11,11,791.1,"1,051",1,"1,666",2,Gilliam,19,D,-119.998311,45.282885,0
Coos Bay Fire & Rescue,Municipal,Combo,16,6,22,18.7,"15,847",900,"8,688",464,Coos,9,C,-124.232689,43.378947,0
Coquille FD,Municipal,Combo,19,17,36,54.5,"4,045",116,"4,869",89,Coos,9,C,-124.182952,43.180307,2
Cornelius FD,Combination,Combo,7,37,44,25.7,"14,362",637,"5,540",216,Washington,3,A,-123.046704,45.520179,0
Corvallis FD,Combination,Combo,75,15,90,55.4,"60,821","1,249","24,053",434,Benton,6,B,-123.277738,44.569061,0
Cove RFPD,Rural,Volunteer,0,16,16,36.3,"1,349",37,"1,570",43,Union,23,G,-117.840678,45.33525,0
Glendale RFPD,Rural,Combo,12,6,18,7.3,698,95,"1,342",184,Douglas,11,C,-123.387356,42.745038,0
Crescent RFPD,Rural,Combo,4,14,18,15.5,"1,459",95,"1,597",103,Klamath,15,F,-121.595314,43.569584,0
Dallas FD,Municipal,Combo,15,16,31,4.9,"17,643","3,701","6,541","1,345",Polk,5,B,-123.312903,44.92215,0
SW Polk Co. RFPD,Rural,Combo,19,11,30,122.6,"7,039",58,"6,933",57,Polk,5,B,-123.219739,44.959233,0
Dayton Fire Dist.,Rural,Volunteer,0,35,35,7.7,376,692,"3,538",459,Yamhill,5,B,-123.100306,45.056018,1
Dayville FD,Municipal,Volunteer,0,7,7,0.5,125,260,171,356,Grant,21,G,-119.531734,44.466228,0
Depoe Bay RFPD,Rural,Combo,15,0,15,9.4,"4,356",466,"4,329",461,Lincoln,4,B,-124.039934,44.855942,0
Dexter RFPD,Rural,Combo,3,8,11,17.8,"2,208",127,"1,884",106,Lane,8,C,-122.834681,43.913518,0
Drakes Crossing RFPD,Rural,Volunteer,0,20,20,22.3,605,27,633,28,Marion,6,B,-122.662324,44.932788,0
Dufur VFD,Municipal,Volunteer,0,13,13,0.6,622,"1,082",483,829,Wasco,18,D,-121.128905,45.453053,0
Dundee FD,Combination,Combo,5,24,29,11.6,"3,238",403,"2,422",208,Yamhill,5,B,-123.014355,45.278892,0
Echo RFPD,Rural,Volunteer,0,24,24,405.6,"1,297",3,"1,102",3,Umatilla,19,D,-119.125828,45.669539,0
Elgin RFPD,Rural,Volunteer,0,11,11,73.2,"2,411",34,"2,424",33,Union,23,G,-117.860531,45.574746,0
Elsie-Vinemaple RFPD,Rural,Volunteer,0,17,17,20.6,733,36,752,37,Clatsop,1,A,-123.573063,45.869563,0
Enterprise FD,Null,Combo,1,18,19,106.1,"3,136",30,"2,939",28,Wallowa,23,G,-117.277079,45.457491,0
Estacada RFPD 69,Rural,Combo,13,40,53,108.6,"13,430",256,"7,664",71,Clackamas,3,A,-122.295998,45.275261,0
Evans Valley Fire Dist. 6,Rural,Combo,3,20,23,30.9,"2,815",92,"4,806",156,Jackson,14,F,-123.157696,42.552162,0
Fair Oaks RFPD,Rural,Volunteer,0,15,15,9.4,"1,175",123,"1,430",153,Douglas,11,C,-123.236789,43.390169,0
Falls City FD,Municipal,Volunteer,0,21,21,1.2,"1,102",943,639,533,Polk,5,B,-123.437555,44.864778,0
Forest Grove Fire & Rescue,Combination,Combo,24,48,72,81.2,"27,019",390,"12,936",159,Washington,3,A,-123.109791,45.524447,0
Fossil VFD,Municipal,Volunteer,0,8,8,0.8,463,570,483,612,Wheeler,20,E,-120.214675,44.998113,0
Gardiner RFPD,Rural,Volunteer,0,12,12,0.3,163,606,159,591,Douglas,11,C,-124.11101,43.72976,0
Garibaldi FD,Combination,Combo,2,15,17,17.4,832,85,"2,370",136,Tillamook,4,A,-123.910899,45.560456,0
Gaston RFPD,Rural,Combo,3,33,36,55.5,"3,508",63,"3,282",59,Washington,3,A,-123.215173,45.477055,0
Gates RFPD,Rural,Combo,1,10,11,9.6,863,81,905,94,Marion,6,B,-122.427006,44.743303,0
Gearhart VFD,Combination,Combo,2,27,29,17.9,"1,798",249,"3,281",183,Clatsop,1,A,-123.916992,46.029344,0
Glide RFPD,Rural,Combo,3,25,28,29,"2,994",102,"2,725",94,Douglas,11,C,-123.112303,43.248647,0
Gold Beach FD,Rural,Volunteer,0,30,30,6,"3,224",532,"2,732",453,Curry,12,C,-124.412189,42.377358,0
Grants Pass Fire & Rescue,Municipal,Combo,61,2,63,11.7,"39,546","3,391","18,049","1,544",Josephine,13,F,-123.331682,42.433352,0
South Sherman Fire & Rescue,Null,Null,Null,Null,0,392.2,403,1,834,2,Sherman,18,D,-120.725812,45.248307,0
Greenacres RFPD,Rural,Volunteer,0,10,10,10.9,"1,030",95,952,87,Coos,9,C,-124.219132,43.253267,0
Gresham Fire & Emerg. Srvcs.,Municipal,Career,102,0,102,33.8,"148,206","4,383","46,258","1,368",Multnomah,3,A,-122.441226,45.502013,1
Halsey-Shedd RFPD,Rural,Combo,2,25,27,106,"2,705",25,"2,989",28,Linn,6,B,-123.134003,44.423065,0
Hamlet VFD,Null,Null,Null,Null,0,15.4,290,19,322,21,Clatsop,1,A,-123.765463,45.873657,0
Harbor RFPD,Rural,Combo,3,13,16,3.9,"4,209","1,105","3,597",932,Curry,12,C,-124.253861,42.045654,0
Harrisburg Fire & Rescue,Rural,Combo,4,24,28,86.3,"5,007",58,"3,752",43,Linn,6,B,-123.09172,44.271914,0
Hauser RFPD,Rural,Volunteer,0,16,16,14.6,"1,392",95,"1,453",100,Coos,9,C,-124.20616,43.522506,0
Heppner FD,Rural,Volunteer,0,24,24,1.2,"1,145",962,"2,072","1,687",Morrow,19,D,-119.513721,45.351139,0
Umatilla Co. Fire Dist. 1,Rural,Combo,47,29,76,162,"31,452",193,"14,161",87,Umatilla,19,D,-119.223383,45.835927,2
Hillsboro Fire & Rescue,Municipal,Career,112,0,112,26.1,"110,219","4,246","42,389","1,627",Washington,3,A,-122.936455,45.527687,0
Hines FD,Null,Volunteer,0,9,9,2.1,"1,653",787,978,463,Harney,21,G,-119.082379,43.558374,1
Hoodland Fire Dist. 74,Rural,Combo,10,25,35,42.9,"5,830",136,"4,478",104,Clackamas,3,A,-121.962563,45.353036,0
Hood River FD,Municipal,Combo,17,9,26,3.3,"8,587","2,611","3,493","1,052",Hood River,18,D,-121.524785,45.708408,0
Hubbard RFPD,Rural,Combo,4,36,40,7.4,"4,546",609,"1,976",266,Marion,6,B,-122.791186,45.18869,0
Huntington FD,Municipal,Volunteer,0,10,10,0.7,484,666,419,570,Baker,23,G,-117.266781,44.35011,0
Idanha-Detroit RFPD,Rural,Combo,2,30,32,4.6,344,66,512,112,Marion,6,B,-122.074834,44.697855,0
Illinois Valley Fire Dist.,Rural,Combo,10,37,47,135.8,"9,053",67,"8,208",60,Josephine,13,F,-123.522158,42.140177,0
Imbler RFPD,Rural,Volunteer,0,12,12,68.1,"1,391",20,"2,113",31,Union,23,G,-117.995233,45.477987,0
Ione RFPD,Rural,Volunteer,0,24,24,454.7,724,2,"1,127",2,Morrow,19,D,-119.858438,45.46591,0
Irrigon RFPD,Rural,Volunteer,Null,15,15,14,"3,978",293,"2,184",156,Morrow,19,D,-119.515203,45.885252,0
Jackson Co. Fire Dist. 3,Rural,Combo,52,10,62,171.7,"57,977",342,"44,477",259,Jackson,14,F,-122.882211,42.473788,1
Jackson Co. Fire Dist. 5,Rural,Combo,24,20,44,105.3,"18,604",171,"15,948",151,Jackson,14,F,-122.802969,42.225975,0
Jacksonville FD,Municipal,Combo,1,7,8,1.9,"3,077","1,641","1,982","1,048",Jackson,14,F,-122.969251,42.312666,0
Jefferson RFPD,Rural,Combo,6,25,31,85.7,"8,548",101,"6,308",74,Marion,6,B,-123.037795,44.694485,0
John Day FD,Combination,Combo,1,15,16,25,"1,668",96,"2,611",104,Grant,21,G,-118.955491,44.418644,0
Joseph FD,Rural,Volunteer,0,18,18,70.5,"1,945",28,"2,767",39,Wallowa,23,G,-117.144647,45.342081,0
Junction City Fire & Rescue,Rural,Combo,8,25,33,66.8,"11,196",170,"7,001",105,Lane,8,C,-123.241256,44.220837,0
Juniper Flat RFPD,Rural,Volunteer,0,17,17,91.3,352,4,679,7,Wasco,18,D,-121.225276,45.145498,0
Keizer Fire Dist.,Rural,Combo,42,8,50,10.2,"36,020","3,527","15,071","1,475",Marion,6,B,-123.036409,45.005392,0
Keno RFPD,Rural,Combo,2,20,22,43.9,"3,160",73,"2,762",63,Klamath,15,F,-121.894147,42.119807,0
Knappa Fire Dist.,Rural,Combo,2,28,30,67.7,"4,106",60,"2,848",42,Clatsop,1,A,-123.539081,46.168811,0
Lafayette FD,Municipal,Combo,1,20,21,0.9,"4,633","5,521","1,552","1,778",Yamhill,5,B,-123.111554,45.246218,0
La Grande FD,Municipal,Career,18,0,18,4.6,"13,163","2,870","5,956","1,291",Union,23,G,-118.086771,45.3245,1
La Grande RFPD,Rural,Combo,1,22,23,85.1,"3,506",41,"3,501",41,Union,23,G,-118.008427,45.330242,0
Lake Oswego FD,Municipal,Career,45,0,45,12.9,"41,409","3,559","18,502","1,436",Clackamas,3,A,-122.700341,45.413001,0
Lakeside RFPD,Rural,Combo,1,20,21,74.8,"2,145",56,"2,698",36,Coos,9,C,-124.183922,43.623762,0
Lakeview FD,Rural,Volunteer,0,21,21,63,"2,075",33,"1,504",24,Lake,15,F,-120.388857,42.297429,0
